1480	3400	Strap yourselves in,
3400	5400	we're going to Mars.
5400	7520	Not just a few astronauts --
7520	10680	thousands of people are going to colonize Mars.
10680	14640	And I am telling you that they're going to do this soon.
14640	17560	Some of you will end up working on projects on Mars,
17560	21760	and I guarantee that some of your children will end up living there.
21760	24160	That probably sounds preposterous,
24160	27760	so I'm going to share with you how and when that will happen.
27760	31000	But first I want to discuss the obvious question:
31000	33640	Why the heck should we do this?
33640	34880	12 years ago,
34880	38720	I gave a TED talk on 10 ways the world could end suddenly.
38720	43520	We are incredibly vulnerable to the whims of our own galaxy.
43520	47120	A single, large asteroid could take us out forever.
47120	50600	To survive we have to reach beyond the home planet.
50600	52840	Think what a tragedy it would be
52840	56720	if all that humans have accomplished were suddenly obliterated.
56720	58760	And there's another reason we should go:
58760	61720	exploration is in our DNA.
61720	65200	Two million years ago humans evolved in Africa
65200	70040	and then slowly but surely spread out across the entire planet
70040	73560	by reaching into the wilderness that was beyond their horizons.
73560	75840	This stuff is inside us.
75840	78240	And they prospered doing that.
78240	82160	Some of the greatest advances in civilization and technology
82160	85080	came because we explored.
85080	86560	Yes, we could do a lot of good
86560	90880	with the money it will take to establish a thriving colony on Mars.
90880	96120	And yes we should all be taking far better care of our own home planet.
96120	102320	And yes, I worry we could screw up Mars the way we've screwed up Earth.
102320	103960	But think for a moment,
103960	108920	what we had when John F. Kennedy told us we would put a human on the moon.
108920	113400	He excited an entire generation to dream.
113400	116360	Think how inspired we will be to see a landing on Mars.
116360	119120	Perhaps then we will look back at Earth
119120	122520	and see that that is one people instead of many
122520	125080	and perhaps then we will look back at Earth,
125080	127520	as we struggle to survive on Mars,
127520	131520	and realize how precious the home planet is.
131520	137040	So let me tell you about the extraordinary adventure we're about to undertake.
137040	138320	But first,
138320	142040	a few fascinating facts about where we're going.
142040	146440	This picture actually represents the true size of Mars compared to Earth.
146440	148360	Mars is not our sister planet.
148360	151160	It's far less than half the size of the Earth,
151160	153200	and yet despite the fact that it's smaller,
153200	155920	the surface area of Mars that you can stand on
155920	159880	is equivalent to the surface area of the Earth that you can stand on,
159880	163000	because the Earth is mostly covered by water.
163000	165320	The atmosphere on Mars is really thin --
165320	167920	100 times thinner than on Earth --
167920	172760	and it's not breathable, it's 96 percent carbon dioxide.
172760	174400	It's really cold there.
174400	177400	The average temperature is minus 81 degrees,
177400	181320	although there is quite a range of temperature.
181320	183920	A day on Mars is about as long as a day on Earth,
183920	186440	plus about 39 minutes.
186440	192000	Seasons and years on Mars are twice as long as they are on Earth.
192000	196680	And for anybody who wants to strap on some wings and go flying one day,
196680	199520	Mars has a lot less gravity than on Earth,
199520	200800	and it's the kind of place
200800	204120	where you can jump over your car instead of walk around it.
204120	207800	Now, as you can see, Mars isn't exactly Earth-like,
207800	213360	but it's by far the most livable other place in our entire solar system.
213360	214880	Here's the problem.
214880	217080	Mars is a long way away,
217080	222560	a thousand times farther away from us than our own moon.
222560	226360	The Moon is 250,000 miles away
226360	230720	and it took Apollo astronauts three days to get there.
230720	233880	Mars is 250 million miles away
233880	236160	and it will take us eight months to get there --
236160	238080	240 days.
238080	240680	And that's only if we launch on a very specific day,
240680	242440	at a very specific time,
242440	244440	once every two years,
244440	247640	when Mars and the Earth are aligned just so,
247640	252640	so the distance that the rocket would have to travel will be the shortest.
252640	258800	240 days is a long time to spend trapped with your colleagues in a tin can.
258800	262880	And meanwhile, our track record of getting to Mars is lousy.
262880	265720	We and the Russians, the Europeans, the Japanese,
265720	267080	the Chinese and the Indians,
267080	269680	have actually sent 44 rockets there,
269680	273240	and the vast majority of them have either missed or crashed.
273240	277760	Only about a third of the missions to Mars have been successful.
277760	283080	And we don't at the moment have a rocket big enough to get there anyway.
283080	285200	We once had that rocket, the Saturn V.
285200	287840	A couple of Saturn Vs would have gotten us there.
287840	291320	It was the most magnificent machine ever built by humans,
291320	294120	and it was the rocket that took us to the Moon.
294120	299160	But the last Saturn V was used in 1973 to launch the Skylab space station,
299160	302280	and we decided to do something called the shuttle
302280	306680	instead of continuing on to Mars after we landed on the Moon.
306680	308160	The biggest rocket we have now
308160	312200	is only half big enough to get us anything to Mars.
312200	315240	So getting to Mars is not going to be easy
315240	319560	and that brings up a really interesting question ...
319560	325160	how soon will the first humans actually land here?
325160	329520	Now, some pundits think if we got there by 2050,
329520	331840	that'd be a pretty good achievement.
331840	338280	These days, NASA seems to be saying that it can get humans to Mars by 2040.
