0001	13830	14865	オリバーは、
0002	15375	20670	{||ん}、(F そうですね)、(F え)とても可愛らしくて、ハンサムで、魅力的で、
0003	21040	28070	(F お){||ほ}、{||んー}ですが、余り安定した{||あ}{||ら}、(F あの)男性ではなかったんですが、{||もと}{||ほん}{本当|ほんとう|ほんと}に大好き、恋に落ちていたんです。
0004	28575	29250	彼です。
0005	29635	31690	バーニーズマウンテンドッグなんですけれども、
0006	32105	34000	(F えー)私{が||}前の夫と
0007	34270	37430	(F え)共に飼っていた犬なんですが、{||こ}六か月{に||}入った時に、
0008	40040	44230	{||え}{||もうど}とっても一緒にいないではいられなかった。{離れて|はなれて|だかれて}辛かった訳ですね。
0009	45275	46710	{||えー}{||え}、
0010	47415	50685	{||う}、{||う}そう言う時には(F えー)そう言う{様|よう|な}家具や、
0011	51015	53735	(F えー)布を食べてしまったりした訳です。
0012	54540	55795	(F え)最終的に、
0013	56090	61020	(F え)、(F え)強迫{||しゅつ}関連障害があると言う風に、オリバー{は||}診断されてしまいました。
0014	62950	64455	{||に}人と同じ様に
0015	65190	69360	(F え)動物と言うも物も、六か月{が経った|がたった|いがたげた}時に分かったのは、
0016	71350	78395	(F え)(F その)六か月(L 位)に、{||つ}自分の付き合ってる人に問題があると言う{事|こと|と}か分かる様に、犬にもそう言った問題があると{||ぎ}気付く事になった訳です。
0017	79235	82980	もう{||そ}{||分からないの}、(F その){||お}やって見ないと分からない{所|ところ|と}がある訳ですが、
0018	86130	87910	{||うん}、{||え}{||え}。
0019	90635	96285	{||ん}ですが、(F その)問題があっても、(F その)自分の好きな人、{||好きなの}{||それつきだい}{||い}好きである訳です(F ね)。
0020	96735	99990	ですから、私はこの犬を愛していた訳です。私は、
0021	102925	103895	(F えーと){||は}{||あ}、
0022	105125	108885	<ＭＩＴ|エムアイティー>で科学を勉強して来ましたけれども、{この||こんの}{||十}十年前、
0023	109500	111050	{||ん}犬を愛{||し}しましたし、
0024	111680	113645	(F え){||聞かれたれ}聞かれれば、やはり
0025	114815	117330	(F えー)大好きだと{答えて|こたえて|こっとわえて}ますが、その{頃|ころ|こえ}には
0026	117780	122285	(F え)そんな大きな{精神的|せいしんてき|せいしてき}な問題も抱えて{いる||ぐわす}(F う)訳です(F ね)、犬は。
0027	124620	126140	{||え}{||え}、(F う)そして、
0028	126475	128250	その{自分|じぶん|じぷ}の犬が、そうした
0029	128420	135890	(F え)精神的な問題を乗り越えて行ける様に何とか手を打ちたいと思ってた訳です。その事が、私の人生を変えるきっかけ{に||ん}なりました。
0030	136215	137750	この七年と言う物、
0031	138040	138705	(F えー)この
0032	139285	141050	トピック{を||に}{||ず}ずっと研究しました。
0033	141415	147715	動物の精神障害{とは||てあ}どう言った問題が{ある||あんの}、それが、私達にとってどう言う{||か}問題{を||}もたらすのかと言う事です。
0034	151570	156345	この動物の中に(F えー)起こる{精神|せいしん|せいしゅ}障害と言う物を研究する事が、
0035	156570	159510	自身の問題を見つめるきっかけになると言う事です。
0036	160780	164675	{ですから||ですがふ}、この<H>(F え)診断について考えて見たいと思います。
0037	166430	172080	私は、(F その)動物を{飼う|かう|かわ}事{は||}理解できないと言う風に基本的には考えてます。{||ん}実際その通りですが、
0038	173540	179480	(F えー)ですが、{その||そん}通りなんですが、例えば子供や家族、人と人とで考えて、{||ん}聞いたからと言って、
0039	179940	185695	(F え)その返事があったとして、それが、その通りとは限らない訳です。自分自身の{考え方|かんがえかた|かむかた}も理解{したと||しどと}限らない。
0040	186920	188255	(F えーと){||す}これ{は||}、{||き}{||ん}
0041	188633	190665	{||いー}近年の問題なんですが、
0042	191115	196060	(F え)そうした{||う}{||え}{精神的|せいしんてき|せんてき}な物があると言う事をきちっと考える事は分からないと言う事なんです(F ね)。
0043	197540	204095	{||え}{||いっしゅ}ただ、(F えー){||し}見ただけで、(F その){||か}診断して行けると言うのは、中々難しい物があります。
0044	205380	207620	精神的な障害、アメリカでの問題は、
0045	209010	213055	(F え)アングザエティディスオーダー、不安の障害{||い}と言う事{に||ん}なります。
0046	216635	224750	{||うー}{||う}例えば、危険を感じた{||しと}りした時に考える感情ですか、そう{言う|いう|}逃げたい、危険を見た時に{||にいすか}逃げようと思う反応です。問題は、
0047	224945	225750	{そうした||そうすた}
0048	226260	227905	(F え)状況があった時には、
0049	229560	231950	(F え)誰も望ましい問題ではないと言う{事|こと|こっ}です。
0050	233375	234785	(F え){||く}{||うん}動物も、
0051	235290	238695	(F えー)同様にそう言った状況に陥る事があると言う事なんです。
0052	242180	247850	(F えー){例えば|たとえば|つとえば}そう言った{||とこ}障害がどう言う形{で||}出るかと、人の場合{は||}、{||自分}(F おー)(P){||ても}(F おー){||お}
0053	248590	249390	狂った様に
0054	250230	250645	(F えー)
0055	251295	256880	手を洗ってしまうと言った様な状況です(F ね)。あるいは食べる事{を||}{||とべられ}(F ん)止められないと、そう言った状況です。
0056	257175	258915	人に{||つ}関して言えば、
0057	260010	263295	(F えー)これをどの様に診断して{対処|たいしょ|たいおし}をして行くと言う方法{が||}あります。
0058	264545	267470	{どの||での}様な{障害|しょうがい|しょがい}があるかと言う事は分かる訳{||です}ですが、
0059	268040	268853	{||え}(F えー)
0060	269280	271050	動物に関してはどうなんでしょうか。
0061	271285	275510	これをサーチをして見ると、{||え}(F えー)ネットサーチをして{見る||み}とすぐ分かる訳ですが、
0062	276905	279570	(F えー)こんな{強迫|きょうはく|きょあく}観念に{かられた||おくれた}猫ですとか、
0063	280265	282835	(F えー){||ん}どんな状態か、{||ん}びっくり{する||す}事{に||}なるでしょう。
0064	283483	285350	幾つか例を挙げて見たいと思います。
0065	285940	287415	これ{||う}が、{||え}{||い}{||え}
0066	287745	292950	{||あ}(F その)影を{||追いかけて}追っかけ続けてしまう犬の{||しゅ}症状です。
0067	294410	302335	(F え)こうした強迫観念{||を}が進行して行くと言う{事|こと|こっと}{に||}なると、ず<H>っとこれを{||すーけ}(F えー)続ける事{に||ん}なります。散歩に行きません。食べません。
0068	302610	304680	何も他の事をしなく{なる訳|なるわけ|ななけ}です。
0069	306400	307440	例えば、この猫。
0070	310265	314745	これ{は||}{ギズモ||ぎずむ}って猫ですけれども、(F え)(F この)外{を||}ずっと見ています。{||け}
0071	315800	319440	これをずっとずっと何時間も何時間も続ける訳です。
0072	320285	321750	{||ずーっ}、(F お)(F このー)
0073	322005	326535	{||す}シェード{を||}下げて行く{事になります|ことになります|こないぜえす}。ですから、また別の{||お}{||お}例ですが、これは、熊、
0074	327910	331010	(F え)ティンティンと言う名前のオークランドズーの(F えー)熊ですが、
0075	332265	337295	ティンティンは枝{と||とぅ}遊んでいるだけではないんです。{ですが||ですか}、これをず<H>っと続けるんです。
0076	337520	340625	良く見ていると(P)分かりますが、{||ち}
0077	341595	347300	{||い}{||う}、全く同じ動きを同じ順序でずっと{続けてる|つづけてる|つづけてう}事{が||}分かります。ただ遊んでるだけではないんです。
0078	348330	350045	また、よく見られる例では、
0079	350660	359845	(F えー){||い}良く動物園の中で(F えー)見られるシーンですが、(F こう)同じ方向へずっと揺れ続ける。あるいは同じ方向に動き続ける。そう言った{光景|こうけい|こうこう}です。
0080	360265	364300	(F え){||す}{これ||こうえ}{は||}右から左、右から左へ{と||ど}{歩き続ける|あるきつづける|くいつきつける}、そんな方法です。
0081	368630	374860	{ですから||すから}これは、(F えー){||そ}{||ほ}そうした{||ふ}(P){||てぃ}全ての動物に共通の表現と言う訳ではありません。
0082	376245	378135	(F えー){ハーバード||はーばーでんで}ゴリラですけれども、
0083	378560	379220	(F え)これは、
0084	379670	383820	{||ぶ}{||ぶ}(F えー){||ん}動的障害を抱えているゴリラです(F ね)。
0085	385045	386395	これ{は||を}{||ん}馬が
0086	387085	392240	(F えー)自身{||の}を傷つけてしまう様な障害、これは(F その)固い物を噛んでしまう障害です(F ね)。
0087	396150	400450	(F え)例えば人が自分{を||}傷つける、{||き}{||どん}手を切ってしまうと言う様な事と、
0088	400740	401935	同じ事{に||ん}なります。
0089	402198	403893	(F え)これは自分の、
0090	404650	408075	(F え)毛をむしり取ってしまうオウムの障害です。
0091	409445	410040	{||う}{||うん}
0092	410475	418550	これも{||に}人に起こる強迫障害と同じ様な{||ひょう}症状と考える事が{出来|でき|で}ます。この鼠はどうなんでしょう。これも同じ{||ひょ}{強迫|きょうはく|きょうふぁく}障害があります。
0093	419390	420400	犬もそうです。
0094	420905	422525	こうした戦争の後の
0095	422920	429130	(F え)仕事を終えた後の犬は、やはり{<ＰＴＳＤ|ピーティーエスディー>||ぴーえいちえすでぃー}{||ん}の障害を{起こす|おこす|おほす}事があります。人とか{と||つ}同じです。
0096	432195	436335	(F えー)髭を{||み}(F あー){||ひゃ}たくわえた人{を||}見ると、{||と}飛びついてしまうと言った障害です。
0097	436710	438400	{||ひ}気を付けないといけないのは、
0098	440745	445985	動物の、犬の{<ＰＴＳＤ|ピーティーエスディー>||ぴーえいちですでぃー}は、人と同じと言う訳ではないです。{||ぴ}
0099	446680	456935	それは、ですが、私が<ＰＴＳＤ|ピーティーエスディー>に掛かったとして、{他|ほか|おか}の人と同じと言う事{じゃ||や}ない、皆全て、人は全て違う{||ん}と同様に、動物もまた違うのです。二頭の{||ず}犬がいたとして、
0100	457655	458800	(F えー){||ん}{||ん}{||ん}
0101	459605	461580	同じ様な環境{で||}育ったとしても、
0102	463180	472400	(F え)また、モーターサイクル、{||おーとぶ}オートバイや、音や、そうした物に問題{を||よ}抱えるかも{知れません|しれません|しえましぇん}し、同じ環境であったにしても、もう一頭は全く関わりないかも知れません。
0103	474160	480370	(F えと)あるいは、同じ{犬|いぬ|ぬ}の中で、(F え)動物{の||}中で、{||い}{||げっ}非常に{||えんとぅえい}犬を{||あいて}、(F こう)動物{を||}愛したとして、
0104	480945	485485	(F え){||す}実はその陰で人が{||苛めて}{||ひ}動物{を||}苛める、虐待する様な、そう言う
0105	486190	488985	(F え)特徴が生まれたりします。それぞれ違うのです。
0106	492515	496910	今、毎日、<Ｅ|イー>メールを開けると、{||うー}{そして||すしって}、
0107	497185	502225	(F えー){||えー}社交界{に||}(F えー)(F ん)出たり{すると||すい}(F あん)動物の話を人々はしています。
0108	503910	506560	(F え){最近|さいきん|さいてん}カリフォルニアで講演{を||}行った時に、
0109	507875	513950	{||う}私の(F ん)猫は、{<ＰＴＳＤ|ピーティーエスディー>||ぴーてぃーですでぃー}を持ってると思いますと言う質問を{||挙げた}{||は}挙げてくれた人がいました。
0110	516995	520470	(F え){||く}{||きー}、猫は、レスキューされた{||ん}猫だったんですが、
0111	523675	524930	(F え)掃除をしていて
0112	525580	526600	(F え){いる||やあ}間に、
0113	526795	529370	(F え)その人が亡くなってしまったと言う事があった{||ん}。
0114	534495	535530	長い事、
0115	536065	539375	二年{||ん}(P){||ん}間、その事故があった時に、
0116	541070	546670	(F え)その{||い}家を(F お)掃除する事が出来なくなってしまったん{です||べす}。{||そのほうほう}(F あ)その体験の後。
0117	548550	551415	家族{||との}(F おー)からのサポート等があり、
0118	552560	558115	(F え)三年後、{||い}ようやく(F う)自信の(F おー)ある猫に戻る事が出来ました、
0119	559865	566725	{||何年後}(F おー)何年か{||ん}前に、(F えー)タイで(F えー)研究{を||}やってた時に、ブルーアて{言う|いう|}猿に出会いましたが、
0120	566910	569265	ブルーアは{||ん}まだ赤ちゃん{の||ん}時に、
0121	569465	571400	(F えー)犬の群れに襲われた訳です。
0122	572170	577580	(F えー){||え}足を噛み{||とぅ}切られてしまう様な、そんな大怪我でした。
0123	579225	581420	(F え)寺院に(F えー)引き取られて、
0124	582105	584110	(F えー)獣医{||ん}で治療{を||}受け、
0125	585020	587820	元気{に||ん}なりましたが、最終的に、(F えー){||ふ}象の
0126	588405	589280	(F えー)動物園に
