872	3880	This is a man-made forest.
3880	7121	It can spread over acres and acres of area,
7121	10387	or it could fit in a small space --
10387	15327	as small as your house garden.
15327	19298	Age of this forest is just two years old.
19298	23036	I have a forest in the backyard of my own house.
23036	25582	It attracts a lot of biodiversity.
25582	30229	(Bird call)
30229	31798	I wake up to this every morning,
31798	33321	like a Disney princess.
33321	35164	(Laughter)
35164	36394	I am an entrepreneur
36394	40798	who facilitates the making of these forests professionally.
40798	42746	We have helped factories,
42746	43927	farms,
43927	46287	schools,
46287	48306	homes,
48306	50273	resorts,
50273	52891	apartment buildings,
52891	54854	public parks
54854	56221	and even a zoo
56221	58715	to have one of such forests.
58715	64035	A forest is not an isolated piece of land where animals live together.
64035	70212	A forest can be an integral part of our urban existence.
70212	71570	A forest, for me,
71570	75540	is a place so dense with trees that you just can't walk into it.
75540	79046	It doesn't matter how big or small they are.
79046	82453	Most of the world we live in today was forest.
82453	84865	This was before human intervention.
84865	87177	Then we built up our cities on those forests,
87177	88701	like São Paulo,
88701	91494	forgetting that we belong to nature as well,
91494	96215	as much as 8.4 million other species on the planet.
96215	100190	Our habitat stopped being our natural habitat.
100190	102647	But not anymore for some of us.
102647	106266	A few others and I today make these forests professionally --
106266	109368	anywhere and everywhere.
109368	111258	I'm an industrial engineer.
111258	114078	I specialize in making cars.
114078	116278	In my previous job at Toyota,
116278	121125	I learned how to convert natural resources into products.
121125	122331	To give you an example,
122331	125006	we would drip the sap out of a rubber tree,
125006	126689	convert it into raw rubber
126689	129418	and make a tire out of it -- the product.
129418	133272	But these products can never become a natural resource again.
133272	136269	We separate the elements from nature
136269	139529	and convert them into an irreversible state.
139529	142025	That's industrial production.
142025	145910	Nature, on the other hand, works in a totally opposite way.
145910	149919	The natural system produces by bringing elements together,
149919	152336	atom by atom.
152336	158343	All the natural products become a natural resource again.
158343	161309	This is something which I learned
161309	164371	when I made a forest in the backyard of my own house.
164371	167671	And this was the first time I worked with nature,
167671	169894	rather than against it.
169894	171094	Since then,
171094	177678	we have made 75 such forests in 25 cities across the world.
177678	179824	Every time we work at a new place,
179824	184592	we find that every single element needed to make a forest
184592	186666	is available right around us.
186666	189371	All we have to do is to bring these elements together
189371	193100	and let nature take over.
193100	196125	To make a forest we start with soil.
196125	198589	We touch, feel and even taste it
198589	201680	to identify what properties it lacks.
201680	204746	If the soil is made up of small particles it becomes compact --
204746	208188	so compact, that water cannot seep in.
208188	212660	We mix some local biomass available around,
