1480	3400	シートベルトを締めてください
3400	5400	これから火星に向かいます
5400	7520	ひと握りの宇宙飛行士だけでなく
7520	10680	何千という人々が火星に 植民することになるでしょう
10680	14330	それも すぐに そうなります
14330	17560	皆さんの中から火星のプロジェクトに 関わる人も出るだろうし
17560	21760	お子さんが火星に住むことになる人も きっといるでしょう
21760	24160	途方もない話に 聞こえるでしょうから
24160	27760	それが いつどのように 起きるのか お話しします
27760	30910	でも その前に当然の疑問について 考えましょう
30910	33420	なぜ火星なんかに 行く必要があるのか？
33420	36696	私は 12年前にTEDで 人類が突然滅亡しうる
36696	38906	10の要因について 話しました
38906	43150	私たちは宇宙の気まぐれに対して 極めて脆弱です
43150	47276	たった１つの小惑星によって 人類は抹消されかねないのです
47276	50600	生き延びるためには 地球の外に手を広げる必要があります
50600	54566	人類の成し遂げてきたことが すべて 突然消失するとしたら
54566	56720	何という悲劇でしょう
56720	58760	行くべき理由は もう１つあります
58760	61720	探検は我々のDNAに 刻み込まれているのです
61720	65200	２百万年前 アフリカで 進化した人類は
65200	70456	ゆっくりと しかし確実に 地平線の 彼方の荒野を目指しながら
70456	73560	地球の隅々へと 広がって行きました
73560	75660	我々の中に そういうものがあるんです
75660	78240	そうやって 繁栄してきたのです
78240	81520	文明や技術の 最も大きな進歩は
81520	84860	探検したからこそ 生まれました
84860	87916	確かに 火星に植民地を 築くほどの費用があれば
87916	90690	多くのことが できるでしょう
90690	95990	我々自身の惑星を もっと大切にすべきだ というのも もっともです
95990	102120	地球を台無しにしたように 火星も台無しに してしまうのではという懸念もあります
102120	105626	しかしジョン・F・ケネディが 人類を月に送ると言ったとき
105626	108920	我々に何があったか ちょっと考えてみてください
108920	112970	ケネディは すべての人に 夢を持たせました
112970	116836	人類が火星に降り立つ姿は どんなに刺激的なことでしょう
116836	119236	そして地球を振り返り
119236	122716	今更ながら 人類は１つなんだと
122716	125010	気付くかもしれません
125010	127340	火星で生きようと もがく中で
127340	131520	故郷の惑星がいかに貴重か 気付くかもしれません
131520	137040	それでは 我々が乗り出そうとしている ものすごい冒険の話をしましょう
137040	138140	でもその前に
138140	142040	我々の向かう先の 興味深い事実をいくつか —
142040	146350	この写真は 火星と地球の 大きさの比較をしたものです
146350	148606	火星は地球の姉妹星 というわけではなく
148606	151286	地球の半分の大きさも ありません
151286	153200	しかし その小ささに かかわらず
153200	155920	立つことのできる 表面の面積は
155920	158650	地球と同じです
158650	163000	地球の場合 かなりの部分が 水に覆われているからです
163000	165190	火星の大気は とても薄く
165190	167760	地球の100分の１しかなく
167760	172760	96%が二酸化炭素なので 呼吸はできません
172760	174400	とても寒く
174400	177400	平均気温は -63℃ですが
177400	181320	実際の温度は とても広い範囲に及びます
181320	183010	火星の１日は
183010	186440	地球の１日より 39分長く
186440	191860	季節や１年は 地球の倍の長さがあります
191860	196270	いつか翼を付けて飛び回りたいと 思っていたなら
196270	199526	火星は地球よりずっと 重力が弱いです
199526	201356	車の反対側に 行くときは
201356	203980	周りを回るより 飛び越えた方が早いでしょう
203980	207906	このように火星は地球そっくり というわけではありませんが
207906	213360	太陽系の中の他の場所に比べたら ずっと住みやすい場所です
213360	214730	問題は
214730	217080	火星がとても遠く
217080	222560	月より千倍も 離れていることです
222560	226360	月は38万キロ 離れていて
226360	230720	アポロの宇宙飛行士たちは 行くのに３日かかりました
230720	233880	火星は４億キロ離れていて
233880	235630	行くのに８ヶ月
235630	238080	240日かかるでしょう
238080	240480	これは２年に１度だけの
240480	242190	特別な日時に
242190	244440	ロケットを 打ち上げた場合で
244440	247640	火星と地球が 上手く並んで
247640	252420	飛行距離が 最短になります
252420	258800	240日というのは 同僚と狭い船内に 押し込められて過ごすには 長い期間です
258800	262880	これまでの火星ロケットの成績は 酷いものです
262880	265720	アメリカ ロシア ヨーロッパ 日本
265720	267080	中国 インドが
267080	270186	44のロケットを火星に向け 打ち上げてきましたが
