0001	16440	18005	(F え)私達は火星に行きます。
0002	19015	24120	(F えー)これは、数人の宇宙飛行士だけではなく、(F えー)(F この)数千人の人達が、
0003	24365	28685	(F えー)(F この)火星に(F えー)(F この)行くと言う(F うー)未来がすぐに来るでしょう。
0004	29105	36045	(F えー)(F このー)(F えー){||かゆ}(F う)火星におけるプロジェクトに{||か}参加する{方|かた|こと}もいると思いますし、皆さんの子供達は、
0005	36400	38780	(F え)火星に行く{||う}事もあると思います。
0006	39505	42105	(F え)では、どう言う風に起こるんでしょうか？まず初めに、
0007	42460	49005	(F えー)(F この)一つ(F えー)問いかけたいの{は||}、何故私達がこれをしないといけないかと言う事です。十二年前に、
0008	49290	55340	(F えー)(F この)世界が(F あ)突然終わり得る(F えー)十個の事について話をしました。
0009	55840	56895	(F え)私達、
0010	57220	60110	{||え}{||え}(F えー)(F このー){||お}惑星が{||あ}
0011	60690	66595	(F えー)一つの惑星{||ん}によっても私達の地球が(F う)すぐに終わってしまう可能性がある訳です。
0012	69660	78535	(F えー)また私達が{||く}(F えー)行くべき理由は(F え)私達の探索、探索と言うのは<ＤＮＡ|ディーエヌエー>に組み込まれているんです。アフリカで
0013	78940	79930	(F えー)(F このー)
0014	81120	83690	産まれて、そして、(F えー)(F このー)
0015	85285	92985	{||え}(F え)自分達の地平線を超えて更に(F えー){||う}様々な世界中の{||え}(F えー)国々に広がって行った訳です。
0016	93430	96975	(F え)(F この)文明技術と言うのは、私達が、
0017	98350	99380	(F えー)(F この)
0018	100785	104920	{||え}(F えー)探索をしたから{||で}出来て来た訳です。私達は、
0019	106825	112995	(F えー)自分達の惑星を(F えー)(F このー)もっとケアするべきだ{||ん}ですとか、
0020	113245	118285	(F えー)(F この)火星を駄目にしてしまうと言う様な事を{||言うか}思うかも知れません。
0021	118715	124860	でも、ジョン<Ｆ|エフ>ケネディが(F えー)(F この)月に人を送った際の事を思い出して下さい。
0022	126965	127805	(F えー)(F この){||お}
0023	128380	133250	(F えー)誰かが地球に降り立つと言う事で、凄いインスピレーション{を||}受けたと思うんです。
0024	135495	141495	(F え)これが、(F あー)一人ではなく(F えー)複数の人達が(F あー){||い}行く事になる訳です。そして、
0025	141775	147905	(F えー)そこから地球を見て、地球が如何に(F えー)(F このー)貴重な物であったかと言う事を感じるのだと思います。
0026	150020	151245	(F えー)まず始めに、
0027	152880	156355	(F えー)どこに行くかと言う所{を||}見て行きましょう。この写真は、
